 Freq Word
   37 creatures
   37 five
   37 given
   37 held
   37 quick
   37 bone
   37 suppose
   37 manner
   36 gentlemen
   36 coast
   36 natural
   36 mast-head
   36 legs
   36 hat
   36 low
   36 fell
   36 flukes
   36 truth
   36 whaleman
   36 unknown
   36 seeing
   36 previous
   36 steelkilt
   36 cape
   36 leaving
   36 greenland
   36 bear
   36 nearly
   36 bulwarks
   35 middle
   35 arms
   35 forecastle
   35 easy
   35 daggoo
   35 strong
   35 hope
   35 start
   35 turns
   35 holding
   34 account
   34 killed
   34 forehead
   34 heavy
   34 red
   34 shot
   34 thoughts
   34 sailing
   34 pacific
   34 pipe
   34 american
   34 gold
   34 sign
   34 ashore
   34 wonder
   34 passage
   33 hardly
   33 fear
   33 idea
   33 fair
   33 company
   33 de
   33 free
   33 remained
   33 sails
   33 already
   33 house
   33 want
   33 top
   33 stop
   33 skeleton
   33 fifty
   33 completely
   33 none
   33 skin
   32 cant
   32 show
   32 hammock
   32 doubt
   32 rigging
   32 unless
   32 hence
   32 strike
   32 during
   32 terms
   32 drawing
   32 chief
   32 proper
   32 mad
   32 brain
   32 bulk
   32 planks
   32 ha
   31 species
   31 didnt
   31 woe
   31 across
   31 dye
   31 intervals
   31 landlord
   31 generally
   31 try
   31 weather
   31 instances
   31 received
   31 ago
   31 except
   31 rolling
   31 hull
   31 lines
   31 darkness
   31 mariners
   31 rising
   31 third
   31 table
   31 nose
   31 considering
   31 visible
   30 vessels
   30 sky
   30 wood
   30 boy
   30 steel
   30 upper
   30 aft
   30 swimming
   30 carried
   30 read
   30 pass
   30 possible
   30 harpoons
   30 miles
   30 jet
   30 cast
   30 soft
   30 substance
   30 mast-heads
   30 helm
   30 born
   30 huge
   30 late
   30 really
   30 quarter-deck
   30 island
   30 possibly
   29 suspended
   29 tossed
   29 fresh
   29 hell
   29 question
   29 final
   29 cold
   29 sideways
   29 vain
   29 foot
   29 strangely
   29 gutenberg
   29 altogether
   29 jaws
   29 stands
   29 act
   29 smoke
   29 leeward
   29 ones
   29 die
   29 pretty
   29 hoisted
   29 steady
   29 certainly
   29 entirely
   29 hammer
   29 words
   29 person
   28 hung
   28 hast
   28 horn
   28 mast
   28 mild
   28 become
   28 considerable
   28 astern
   28 shipmates
   28 o
   28 glance
   28 meanwhile
   28 leaning
   28 touch
   28 ancient
   28 supper
   28 thinking
   27 hunters
   27 wholly
   27 finally
   27 giving
   27 queequegs
   27 knows
   27 feeling
   27 alongside
   27 electronic
   27 state
   27 eyeing
   27 believe
   27 sides
   27 lie
   27 kind
   27 flying
   27 hearts
   27 following
   27 number
   27 spring
   27 ive
   27 aside
   27 wooden
   26 whale-ship
   26 scene
   26 according
   26 takes
   26 enormous
   26 carry
   26 floating
   26 seated
   26 dutch
   26 followed
   26 sweet
   26 somewhat
   26 started
   26 gale
   26 circumstances
   26 ears
   26 degree
   26 getting
   26 circumstance
   26 kings
   26 bodily
   26 otherwise
   26 thirty
   26 fancy
   26 blubber
   26 im
   26 yourself
   26 dropped
   26 pointed
   26 stubbs
   26 command
   26 silent
   25 souls
   25 play
   25 cases
   25 masts
   25 front
   25 bit
   25 similar
   25 bright
   25 drop
   25 blow
   25 afterwards
   25 thick
   25 yards
   25 cutting
   25 learned
   25 fishermen
   25 duty
   25 talk
   25 complete
   25 whiteness
   25 interval
   25 nay
   25 seldom
   25 kill
   25 ahead
   25 keel
   25 chest
   25 royal
   25 foundation
   25 fedallah
   25 spread
   25 bearing
   25 different
   25 friend
   25 precisely
   25 dart
   24 battle
   24 wall
   24 remains
   24 level
   24 swift
   24 pulling
   24 country
   24 regarded
   24 overboard
   24 storm
   24 love
   24 oar
   24 skull
   24 instead
   24 regular
   24 answer
   24 worlds
   24 hinted
   24 tall
   24 midnight
   24 became
   24 exactly
   24 globe
   24 warm
   24 thrown
   24 twenty
   24 honour
   24 strength
   24 watery
   24 whale-boat
   24 hump
   24 added
   24 looks
   24 thyself
   23 tis
   23 history
   23 rose
   23 secret
   23 cause
   23 beyond
   23 speaking
   23 fiery
   23 circle
   23 orders
   23 shore
   23 year
   23 lances
   23 beat
   23 consider
   23 pursuit
   23 alive
   23 instantly
   23 ran
   23 perils
   23 hidden
   23 real
   23 commanded
   23 remain
   23 hot
   23 flew
   23 bound
   23 six
   23 escape
   23 drawn
   23 st
   23 thunder
   23 aint
   23 french
   23 passing
   23 burst
   23 grow
   23 coat
   22 heres
   22 stove
   22 original
   22 fin
   22 striking
   22 eight
   22 devils
   22 pagan
   22 south
   22 deadly
   22 owing
   22 gazing
   22 filled
   22 port
